syllable,latin,count,first_file
न्द्रा,ndrā,2,s0513a1.att.xml
न्वं,nvaṃ,2,e0809n.nrf.xml
पीं,pīṃ,2,s0203t.tik.xml
पै,pै,2,e0810n.nrf.xml
पौ,pौ,2,e0810n.nrf.xml
प्यू,pyū,2,e0601n.nrf.xml
ब्रो,bro,2,e0703n.nrf.xml
भ्रू,bhrū,2,e0105n.nrf.xml
मौं,mौṃ,2,e0501n.nrf.xml
म्प्य,mpya,2,e1208n.nrf.xml
म्मुं,mmuṃ,2,e0201n.nrf.xml
यै,yै,2,e1201n.nrf.xml
र्य,rya,2,e0807n.nrf.xml
र्वा,rvā,2,e0301n.nrf.xml
ल्ति,lti,2,e0201n.nrf.xml
ळ्या,ḷyā,2,e1215n.nrf.xml
ळ्व,ḷva,2,vin05t.nrf.xml
व्च,vca,2,e1202n.nrf.xml
व्वी,vvī,2,e0401n.nrf.xml
सां,sāṃ,2,vin12t.nrf.xml
सों,soṃ,2,vin01a.att.xml
स्चे,sce,2,e1212n.nrf.xml
स्ति,sti,2,e1201n.nrf.xml
स्तु,stu,2,s0510a.att.xml
स्प,spa,2,s0514m.mul.xml
स्यू,syū,2,e0601n.nrf.xml
हें,heṃ,2,e0810n.nrf.xml
ह्मो,hmo,2,e1101n.nrf.xml
ह्यू,hyū,2,e0802n.nrf.xml
कां,kāṃ,1,e0702n.nrf.xml
कें,keṃ,1,e0702n.nrf.xml
कों,koṃ,1,e0702n.nrf.xml
क्का,kkā,1,e0802n.nrf.xml
क्खें,kkheṃ,1,e1201n.nrf.xml
क्ख्ख्न्धे,kkhkhndhe,1,s0105t.nrf.xml
क्ख्यं,kkhyaṃ,1,e1207n.nrf.xml
क्ख्ये,kkhye,1,e0810n.nrf.xml
क्चि,kci,1,e1201n.nrf.xml
क्झा,kjhā,1,e1201n.nrf.xml
क्ट्ठी,kṭṭhī,1,e1201n.nrf.xml
क्तिं,ktiṃ,1,e1208n.nrf.xml
क्ती,ktī,1,e0807n.nrf.xml
क्त्क,ktka,1,e1009n.nrf.xml
क्प्प,kppa,1,e0806n.nrf.xml
क्यि,kyi,1,e0602n.nrf.xml
क्यु,kyu,1,e0702n.nrf.xml
क्रा,krā,1,e1005n.nrf.xml
क्रिं,kriṃ,1,e0801n.nrf.xml
क्री,krī,1,vin11t.nrf.xml
क्रुं,kruṃ,1,e0804n.nrf.xml
क्ले,kle,1,e0605n.nrf.xml
क्सु,ksu,1,e1202n.nrf.xml
ख्य्य,khyya,1,e1201n.nrf.xml
ख्य्या,khyyā,1,e1201n.nrf.xml
गें,geṃ,1,e1201n.nrf.xml
ग्ग्ग,ggga,1,s0301t.tik.xml
ग्ग्गो,gggo,1,s0301t.tik.xml
ग्ग्य,ggya,1,e1201n.nrf.xml
ग्ग्ह,ggha,1,s0103t.tik.xml
ग्घ्या,gghyā,1,e1009n.nrf.xml
ग्ञा,gñā,1,e1208n.nrf.xml
ग्ण्ठा,gṇṭhā,1,e1203n.nrf.xml
ग्तं,gtaṃ,1,e0801n.nrf.xml
ग्धा,gdhā,1,abh02a.att.xml
ग्धि,gdhi,1,s0305m.mul.xml
ग्नि,gni,1,e0803n.nrf.xml
ग्नी,gnī,1,e0803n.nrf.xml
ग्र,gra,1,e1215n.nrf.xml
ग्रु,gru,1,e0702n.nrf.xml
ग्लो,glo,1,e0810n.nrf.xml
ग्व,gva,1,e1212n.nrf.xml
ग्वो,gvo,1,e0802n.nrf.xml
घ्यं,ghyaṃ,1,e0810n.nrf.xml
घ्यो,ghyo,1,e1001n.nrf.xml
घ्र,ghra,1,e1202n.nrf.xml
घ्वा,ghvā,1,e1009n.nrf.xml
ङो,ṅo,1,e1211n.nrf.xml
ङ्क्नी,ṅknī,1,e0806n.nrf.xml
ङ्क्या,ṅkyā,1,e0702n.nrf.xml
ङ्ख्य्ये,ṅkhyye,1,e1102n.nrf.xml
ङ्ग्ये,ṅgye,1,e0812n.nrf.xml
ङ्ड,ṅḍa,1,e1214n.nrf.xml
ङ्ढो,ṅḍho,1,e1201n.nrf.xml
ङ्ण,ṅṇa,1,e0607n.nrf.xml
ङ्ते,ṅte,1,e1210n.nrf.xml
ङ्ध्या,ṅdhyā,1,e1212n.nrf.xml
ङ्नि,ṅni,1,e1208n.nrf.xml
ङ्र,ṅra,1,e0201n.nrf.xml
ङ्व,ṅva,1,e1208n.nrf.xml
ङ्स,ṅsa,1,e0806n.nrf.xml
ङ्स्मा,ṅsmā,1,e1212n.nrf.xml
ङ्ह,ṅha,1,e1206n.nrf.xml
चौ,cौ,1,e1210n.nrf.xml
च्च,cca,1,e0201n.nrf.xml
च्चु,ccu,1,abh01a.att.xml
च्चो,cco,1,s0510a.att.xml
च्जु,cju,1,e1215n.nrf.xml
च्यु,cyu,1,e0812n.nrf.xml
च्स,csa,1,e0806n.nrf.xml
छें,cheṃ,1,e0810n.nrf.xml
जां,jāṃ,1,e0702n.nrf.xml
ज्क्,jk,1,e1201n.nrf.xml
ज्क्ज्ध,jkjdha,1,e1201n.nrf.xml
ज्जिं,jjiṃ,1,e1208n.nrf.xml
ज्झुं,jjhuṃ,1,s0102m.mul.xml
ज्य,jya,1,e0805n.nrf.xml
ज्रा,jrā,1,e0808n.nrf.xml
ज्स्गा,jsgā,1,e0808n.nrf.xml
झ्ती,jhtī,1,s0302t.tik.xml
ञ्क्ना,ñknā,1,e1208n.nrf.xml
ञ्छू,ñchū,1,e0201n.nrf.xml
ञ्झु,ñjhu,1,s0202t.tik.xml
ञ्ञे,ññe,1,e0810n.nrf.xml
ञ्ण,ñṇa,1,e1208n.nrf.xml
ञ्त्धा,ñtdhā,1,e1215n.nrf.xml
ञ्द्वा,ñdvā,1,e1201n.nrf.xml
ञ्फ,ñpha,1,s0105t.nrf.xml
ञ्भि,ñbhi,1,e1201n.nrf.xml
ञ्यों,ñyoṃ,1,e0702n.nrf.xml
ञ्यौं,ñyौṃ,1,e0702n.nrf.xml
ञ्वा,ñvā,1,e1201n.nrf.xml
ञ्स्मा,ñsmā,1,e0806n.nrf.xml
टों,ṭoṃ,1,e0702n.nrf.xml
टौ,ṭौ,1,e0810n.nrf.xml
ट्ञा,ṭñā,1,e1201n.nrf.xml
ट्ट्ठु,ṭṭṭhu,1,e1207n.nrf.xml
ट्ठ्यु,ṭṭhyu,1,e0806n.nrf.xml
ट्प,ṭpa,1,e1202n.nrf.xml
ट्युं,ṭyuṃ,1,e0101n.mul.xml
ट्ये,ṭye,1,e1208n.nrf.xml
ठुं,ṭhuṃ,1,e1201n.nrf.xml
ठूं,ṭhūṃ,1,e1201n.nrf.xml
ठ्ठा,ṭhṭhā,1,e1202n.nrf.xml
ठ्यं,ṭhyaṃ,1,e0810n.nrf.xml
ठ्या,ṭhyā,1,e1201n.nrf.xml
ठ्ये,ṭhye,1,e0810n.nrf.xml
ढु,ḍhu,1,s0507a.att.xml
ढे,ḍhe,1,e1201n.nrf.xml
णां,ṇāṃ,1,e0702n.nrf.xml
णीं,ṇīṃ,1,e1101n.nrf.xml
ण्ग,ṇga,1,e1215n.nrf.xml
ण्टी,ṇṭī,1,s0510m2.mul.xml
ण्ड्या,ṇḍyā,1,e1201n.nrf.xml
ण्ढ,ṇḍha,1,e1206n.nrf.xml
ण्ण्ण,ṇṇṇa,1,s0302t.tik.xml
ण्ति,ṇti,1,e0813n.nrf.xml
ण्त्वा,ṇtvā,1,e1215n.nrf.xml
ण्थं,ṇthaṃ,1,e1206n.nrf.xml
ण्था,ṇthā,1,e1202n.nrf.xml
ण्थि,ṇthi,1,e1206n.nrf.xml
ण्थे,ṇthe,1,e1208n.nrf.xml
ण्थो,ṇtho,1,e1206n.nrf.xml
ण्द्र,ṇdra,1,e1202n.nrf.xml
ण्धु,ṇdhu,1,e1206n.nrf.xml
ण्पि,ṇpi,1,e1212n.nrf.xml
ण्मि,ṇmi,1,e0605n.nrf.xml
ण्यु,ṇyu,1,e1208n.nrf.xml
ण्यें,ṇyeṃ,1,e1207n.nrf.xml
ण्य्यो,ṇyyo,1,e1201n.nrf.xml
ण्र्या,ṇryā,1,e1201n.nrf.xml
ण्व,ṇva,1,e0804n.nrf.xml
ण्वि,ṇvi,1,e1208n.nrf.xml
ण्स्वा,ṇsvā,1,e1201n.nrf.xml
ण्हुं,ṇhuṃ,1,s0513m.mul.xml
तां,tāṃ,1,s0102t.tik.xml
तीं,tīṃ,1,e1201n.nrf.xml
तें,teṃ,1,e0810n.nrf.xml
तैं,tैṃ,1,e1201n.nrf.xml
त्कं,tkaṃ,1,e0806n.nrf.xml
त्का,tkā,1,e0703n.nrf.xml
त्कि,tki,1,e0806n.nrf.xml
त्क्,tk,1,e0804n.nrf.xml
त्ग,tga,1,e0808n.nrf.xml
त्झं,tjhaṃ,1,vin08t.nrf.xml
त्ञा,tñā,1,e1210n.nrf.xml
त्तां,ttāṃ,1,vin01t1.tik.xml
त्त्ञ,ttña,1,e1201n.nrf.xml
त्त्त,ttta,1,e1009n.nrf.xml
त्त्तु,tttu,1,e1009n.nrf.xml
त्त्ते,ttte,1,e1009n.nrf.xml
त्त्थ,tttha,1,e0813n.nrf.xml
त्त्थि,ttthi,1,e0806n.nrf.xml
त्त्यं,ttyaṃ,1,e0810n.nrf.xml
त्त्यो,ttyo,1,e1212n.nrf.xml
त्त्वि,ttvi,1,e1201n.nrf.xml
त्थौ,tthौ,1,e0804n.nrf.xml
त्थ्यं,tthyaṃ,1,e0807n.nrf.xml
त्थ्यु,tthyu,1,e0809n.nrf.xml
त्थ्यो,tthyo,1,e0807n.nrf.xml
त्थ्हं,tthhaṃ,1,e0806n.nrf.xml
त्नि,tni,1,e1208n.nrf.xml
त्प,tpa,1,s0105t.nrf.xml
त्पू,tpū,1,e0605n.nrf.xml
त्ब्बा,tbbā,1,s0202t.tik.xml
त्म,tma,1,e0812n.nrf.xml
त्यी,tyī,1,e0807n.nrf.xml
त्री,trī,1,e1210n.nrf.xml
त्वां,tvāṃ,1,e1208n.nrf.xml
त्वू,tvū,1,e0201n.nrf.xml
त्वै,tvै,1,e1201n.nrf.xml
थ्यु,thyu,1,e0803n.nrf.xml
थ्ये,thye,1,e0812n.nrf.xml
दां,dāṃ,1,e1210n.nrf.xml
दीं,dīṃ,1,e0802n.nrf.xml
दै,dै,1,e1201n.nrf.xml
द्ते,dte,1,e0806n.nrf.xml
द्दै,ddै,1,e1201n.nrf.xml
द्भ्यां,dbhyāṃ,1,e0105n.nrf.xml
द्मि,dmi,1,e0810n.nrf.xml
द्मी,dmī,1,e0810n.nrf.xml
द्यू,dyū,1,e0806n.nrf.xml
द्विं,dviṃ,1,vin02a1.att.xml
द्व्या,dvyā,1,e0607n.nrf.xml
ध्ता,dhtā,1,e0808n.nrf.xml
ध्तु,dhtu,1,e0804n.nrf.xml
ध्वि,dhvi,1,e0810n.nrf.xml
ध्वे,dhve,1,e0809n.nrf.xml
नां,nāṃ,1,e0607n.nrf.xml
न्कं,nkaṃ,1,e0605n.nrf.xml
न्ख,nkha,1,e1208n.nrf.xml
न्गि,ngi,1,e0607n.nrf.xml
न्गी,ngī,1,e0607n.nrf.xml
न्चु,ncu,1,e0810n.nrf.xml
न्झा,njhā,1,e1010n.nrf.xml
न्ञ,nña,1,e1201n.nrf.xml
न्ञा,nñā,1,e1201n.nrf.xml
न्ठे,nṭhe,1,e1203n.nrf.xml
न्ड,nḍa,1,e1203n.nrf.xml
न्ण,nṇa,1,e1212n.nrf.xml
न्तौ,ntौ,1,e1202n.nrf.xml
न्त्तो,ntto,1,e1103n.nrf.xml
न्त्त्व,nttva,1,e1201n.nrf.xml
न्त्रा,ntrā,1,e1215n.nrf.xml
न्त्रे,ntre,1,e0605n.nrf.xml
न्त्वं,ntvaṃ,1,e1202n.nrf.xml
न्त्व्य,ntvya,1,e0801n.nrf.xml
न्थ्वा,nthvā,1,e1215n.nrf.xml
न्द्धो,nddho,1,e1201n.nrf.xml
न्द्य,ndya,1,e0810n.nrf.xml
न्द्यं,ndyaṃ,1,e1209n.nrf.xml
न्द्ये,ndye,1,e0810n.nrf.xml
न्द्रु,ndru,1,vin12t.nrf.xml
न्धीं,ndhīṃ,1,e0703n.nrf.xml
न्म,nma,1,e0812n.nrf.xml
न्मा,nmā,1,e1201n.nrf.xml
न्यें,nyeṃ,1,e1205n.nrf.xml
न्र,nra,1,e1201n.nrf.xml
न्ला,nlā,1,e0808n.nrf.xml
न्वी,nvī,1,e0806n.nrf.xml
न्व्द,nvda,1,e1208n.nrf.xml
न्व्ध,nvdha,1,e1208n.nrf.xml
प्छि,pchi,1,e1212n.nrf.xml
प्ज,pja,1,e1211n.nrf.xml
प्त,pta,1,e1204n.nrf.xml
प्ति,pti,1,e1215n.nrf.xml
प्त्ति,ptti,1,e1212n.nrf.xml
प्प्पी,pppī,1,s0201t.tik.xml
प्म,pma,1,e1103n.nrf.xml
प्यि,pyi,1,vin02a3.att.xml
प्रि,pri,1,e1005n.nrf.xml
प्रु,pru,1,e0601n.nrf.xml
प्वे,pve,1,vin12t.nrf.xml
प्स,psa,1,e1102n.nrf.xml
फौ,phौ,1,e0810n.nrf.xml
फ्फ,phpha,1,e1202n.nrf.xml
फ्य,phya,1,e0702n.nrf.xml
फ्र,phra,1,e1207n.nrf.xml
फ्रू,phrū,1,vin12t.nrf.xml
ब्,b,1,e0804n.nrf.xml
ब्गि,bgi,1,e1201n.nrf.xml
ब्ब्जा,bbjā,1,e1202n.nrf.xml
ब्ब्ब,bbba,1,s0301t.tik.xml
ब्ब्बा,bbbā,1,s0201t.tik.xml
ब्ब्य,bbya,1,e0809n.nrf.xml
ब्भुं,bbhuṃ,1,s0401t.tik.xml
ब्वा,bvā,1,vin13t.nrf.xml
ब्वे,bve,1,s0102a.att.xml
भ्मा,bhmā,1,s0513m.mul.xml
भ्व,bhva,1,e0804n.nrf.xml
मीं,mīṃ,1,e1208n.nrf.xml
मूं,mūṃ,1,e0803n.nrf.xml
म्कु,mku,1,vin05t.nrf.xml
म्ग,mga,1,e1208n.nrf.xml
म्ञा,mñā,1,e1210n.nrf.xml
म्ता,mtā,1,e1001n.nrf.xml
म्ते,mte,1,e0801n.nrf.xml
म्थु,mthu,1,e1208n.nrf.xml
म्द,mda,1,e1208n.nrf.xml
म्धे,mdhe,1,e1202n.nrf.xml
म्प्यु,mpyu,1,e1003n.nrf.xml
म्फू,mphū,1,e1215n.nrf.xml
म्फो,mpho,1,e0703n.nrf.xml
म्ब्ड,mbḍa,1,e1208n.nrf.xml
म्ब्य,mbya,1,e1007n.nrf.xml
म्ब्या,mbyā,1,e0809n.nrf.xml
म्ब्रु,mbru,1,e1215n.nrf.xml
म्भ्य,mbhya,1,e1201n.nrf.xml
म्मौ,mmौ,1,e1210n.nrf.xml
म्रे,mre,1,e0702n.nrf.xml
म्वे,mve,1,e0810n.nrf.xml
म्स,msa,1,e0808n.nrf.xml
म्हां,mhāṃ,1,e0702n.nrf.xml
म्हू,mhū,1,abh01a.att.xml
यें,yeṃ,1,e0810n.nrf.xml
यों,yoṃ,1,s0514m.mul.xml
यौ,yौ,1,e0810n.nrf.xml
य्च,yca,1,e0801n.nrf.xml
य्जै,yjै,1,e1201n.nrf.xml
य्हुं,yhuṃ,1,e1215n.nrf.xml
रें,reṃ,1,e1202n.nrf.xml
र्ण्थ,rṇtha,1,e1206n.nrf.xml
र्त्थ,rttha,1,e1206n.nrf.xml
र्भु,rbhu,1,s0202t.tik.xml
र्स,rsa,1,e0605n.nrf.xml
र्ह्म,rhma,1,vin01t1.tik.xml
लै,lै,1,e1201n.nrf.xml
लों,loṃ,1,e0702n.nrf.xml
लौं,lौṃ,1,e0810n.nrf.xml
ल्ग,lga,1,e0808n.nrf.xml
ल्गा,lgā,1,e0808n.nrf.xml
ल्च,lca,1,e0808n.nrf.xml
ल्ञे,lñe,1,e1212n.nrf.xml
ल्त्वी,ltvī,1,e0806n.nrf.xml
ल्थु,lthu,1,e0801n.nrf.xml
ल्प,lpa,1,e0808n.nrf.xml
ल्भी,lbhī,1,e1208n.nrf.xml
ल्यु,lyu,1,e0809n.nrf.xml
ल्यू,lyū,1,e0802n.nrf.xml
ल्य्या,lyyā,1,e1201n.nrf.xml
ल्रा,lrā,1,e1010n.nrf.xml
ल्हा,lhā,1,e1208n.nrf.xml
ल्हि,lhi,1,e0105n.nrf.xml
ळ्य,ḷya,1,e0810n.nrf.xml
ळ्ल,ḷla,1,e1202n.nrf.xml
वूं,vūṃ,1,e1203n.nrf.xml
व्छ,vcha,1,e1211n.nrf.xml
व्ठे,vṭhe,1,e0702n.nrf.xml
व्त,vta,1,e1201n.nrf.xml
व्ति,vti,1,e1203n.nrf.xml
व्त्ति,vtti,1,e0804n.nrf.xml
व्भ,vbha,1,e1208n.nrf.xml
व्मि,vmi,1,e0907n.nrf.xml
व्यं,vyaṃ,1,s0402m3.mul.xml
व्यु,vyu,1,e1210n.nrf.xml
व्वि,vvi,1,s0520m.nrf.xml
व्स,vsa,1,e1201n.nrf.xml
व्ही,vhī,1,e0201n.nrf.xml
व्ह्ञे,vhñe,1,e1201n.nrf.xml
स्ज,sja,1,e0808n.nrf.xml
स्जै,sjै,1,e1201n.nrf.xml
स्ञा,sñā,1,e1210n.nrf.xml
स्ण,sṇa,1,e1212n.nrf.xml
स्त्यं,styaṃ,1,e1204n.nrf.xml
स्त्यु,styu,1,e0812n.nrf.xml
स्थि,sthi,1,e0812n.nrf.xml
स्द,sda,1,e1201n.nrf.xml
स्दा,sdā,1,e1201n.nrf.xml
स्फ,spha,1,e1201n.nrf.xml
स्मीं,smīṃ,1,e0703n.nrf.xml
स्म्या,smyā,1,e1208n.nrf.xml
स्यां,syāṃ,1,e0812n.nrf.xml
स्य्या,syyā,1,e1201n.nrf.xml
स्री,srī,1,e1007n.nrf.xml
स्ला,slā,1,e0808n.nrf.xml
स्वु,svu,1,e0201n.nrf.xml
स्स्ञ,ssña,1,e1201n.nrf.xml
स्स्सा,sssā,1,s0104t.nrf.xml
स्स्सि,sssi,1,vin07t.nrf.xml
स्ह,sha,1,e1206n.nrf.xml
स्हो,sho,1,e1201n.nrf.xml
स्ह्यु,shyu,1,e0401n.nrf.xml
स्ह्यू,shyū,1,e0401n.nrf.xml
हां,hāṃ,1,e0607n.nrf.xml
हूं,hūṃ,1,e0703n.nrf.xml
है,hै,1,e1201n.nrf.xml
ह्घा,hghā,1,e0703n.nrf.xml
ह्ञा,hñā,1,e1201n.nrf.xml
ह्न,hna,1,e0810n.nrf.xml
ह्यु,hyu,1,e0806n.nrf.xml
ह्वं,hvaṃ,1,e0813n.nrf.xml
ह्वि,hvi,1,e1103n.nrf.xml
ह्ह्व,hhva,1,e1201n.nrf.xml
