syllable,latin,count,first_file
ची,cī,21707,s0101m.mul.xml
ण्ड,ṇḍa,21551,s0101m.mul.xml
स्सि,ssi,21273,s0101m.mul.xml
घ,gha,21226,s0101m.mul.xml
क्खू,kkhū,20833,s0101m.mul.xml
ङ्क,ṅka,20621,s0101m.mul.xml
गे,ge,20499,s0101m.mul.xml
द्वे,dve,20252,s0101m.mul.xml
ळ,ḷa,20192,s0101m.mul.xml
ब्भ,bbha,20057,s0101m.mul.xml
णो,ṇo,19938,s0101m.mul.xml
भु,bhu,19846,s0101m.mul.xml
खा,khā,19843,s0101m.mul.xml
ज्झा,jjhā,19557,s0101m.mul.xml
जी,jī,19453,s0101m.mul.xml
चं,caṃ,19154,s0101m.mul.xml
तू,tū,18778,s0101m.mul.xml
ब्या,byā,18615,s0101m.mul.xml
ट्ट,ṭṭa,18290,s0101m.mul.xml
द्दे,dde,18174,s0101m.mul.xml
क्खे,kkhe,17872,s0101m.mul.xml
चु,cu,17854,s0101m.mul.xml
ण्हा,ṇhā,17523,s0101m.mul.xml
ट्ठे,ṭṭhe,17348,s0101m.mul.xml
पू,pū,17282,s0101m.mul.xml
बा,bā,17126,s0101m.mul.xml
ञं,ñaṃ,17049,s0101m.mul.xml
किं,kiṃ,16988,s0101m.mul.xml
म्ब,mba,16841,s0101m.mul.xml
थं,thaṃ,16293,s0101m.mul.xml
द्वा,dvā,16210,s0101m.mul.xml
सू,sū,16017,s0101m.mul.xml
गि,gi,15905,s0101m.mul.xml
थि,thi,15887,s0101m.mul.xml
ब्रा,brā,15800,s0101m.mul.xml
ब्र,bra,15725,s0101m.mul.xml
बो,bo,15509,s0101m.mul.xml
चो,co,15330,s0101m.mul.xml
धु,dhu,15173,s0101m.mul.xml
द्धो,ddho,15008,s0101m.mul.xml
झा,jhā,14962,s0101m.mul.xml
न्धो,ndho,14725,s0101m.mul.xml
त्तिं,ttiṃ,14666,s0101m.mul.xml
स्वा,svā,14635,s0101m.mul.xml
घा,ghā,14475,s0101m.mul.xml
धो,dho,14429,s0101m.mul.xml
ठि,ṭhi,14422,s0101m.mul.xml
ञो,ño,14410,s0101m.mul.xml
धे,dhe,14367,s0101m.mul.xml
न्त्वा,ntvā,14284,s0101m.mul.xml
ट्ठो,ṭṭho,14278,s0101m.mul.xml
ठा,ṭhā,14250,s0101m.mul.xml
द्धं,ddhaṃ,14118,s0101m.mul.xml
च्छे,cche,13903,s0101m.mul.xml
खि,khi,13816,s0101m.mul.xml
णी,ṇī,13753,s0101m.mul.xml
तिं,tiṃ,13538,s0101m.mul.xml
न्दि,ndi,13401,s0101m.mul.xml
म्हि,mhi,13377,s0101m.mul.xml
जं,jaṃ,12823,s0101m.mul.xml
स्सो,sso,12696,s0101m.mul.xml
ग्गो,ggo,12675,s0101m.mul.xml
क्खं,kkhaṃ,12633,s0101m.mul.xml
प्पे,ppe,12447,s0101m.mul.xml
ग्गे,gge,12407,s0101m.mul.xml
स्सं,ssaṃ,12265,s0101m.mul.xml
म्भ,mbha,12097,s0101m.mul.xml
द्धिं,ddhiṃ,11841,s0101m.mul.xml
ञ्हि,ñhi,11838,s0101m.mul.xml
न्धि,ndhi,11810,s0102m.mul.xml
म्हा,mhā,11771,s0101m.mul.xml
खे,khe,11577,s0101m.mul.xml
सुं,suṃ,11334,s0101m.mul.xml
ब्य,bya,11300,s0101m.mul.xml
ङ्गा,ṅgā,11117,s0101m.mul.xml
त्थी,tthī,11071,s0101m.mul.xml
ग्गा,ggā,10982,s0101m.mul.xml
ळि,ḷi,10912,s0101m.mul.xml
ङ्घ,ṅgha,10910,s0101m.mul.xml
ण्डि,ṇḍi,10834,s0101m.mul.xml
स्सु,ssu,10686,s0101m.mul.xml
प्पि,ppi,10643,s0101m.mul.xml
द्दो,ddo,10535,s0101m.mul.xml
खं,khaṃ,10248,s0101m.mul.xml
ज्झि,jjhi,10219,s0101m.mul.xml
ळा,ḷā,10191,s0101m.mul.xml
ट्ठं,ṭṭhaṃ,10140,s0101m.mul.xml
न्धे,ndhe,9935,s0101m.mul.xml
ण्ह,ṇha,9916,s0101m.mul.xml
थु,thu,9738,s0101m.mul.xml
जो,jo,9541,s0101m.mul.xml
ग्गि,ggi,9479,s0101m.mul.xml
ली,lī,9471,s0101m.mul.xml
द्दि,ddi,9409,s0101m.mul.xml
कू,kū,9319,s0101m.mul.xml
त्ती,ttī,9205,s0101m.mul.xml
म्बु,mbu,9081,s0101m.mul.xml
त्वं,tvaṃ,8946,s0101m.mul.xml
स्या,syā,8821,s0101m.mul.xml
ङ्ख,ṅkha,8734,s0101m.mul.xml
ण्णं,ṇṇaṃ,8642,s0101m.mul.xml
दू,dū,8427,s0101m.mul.xml
त्र,tra,8401,s0101m.mul.xml
ग्गं,ggaṃ,8200,s0101m.mul.xml
क्खो,kkho,8136,s0101m.mul.xml
ड्ढ,ḍḍha,8073,s0101m.mul.xml
द्वि,dvi,8068,s0101m.mul.xml
खी,khī,8037,s0101m.mul.xml
ब्बि,bbi,7877,s0101m.mul.xml
न्तु,ntu,7645,s0101m.mul.xml
ण्णा,ṇṇā,7636,s0101m.mul.xml
